threshold,aep,ari,longitude,latitude,hit
0.1000000000,0.0000000020,499999999.9999999404,24.3487600000,12.4280575540,1
0.1000000000,0.0000000040,249999999.9999999702,24.3038500000,12.4730215827,1
0.1000000000,0.0000000040,249999999.9999999702,24.3487600000,12.4730215827,1
0.1000000000,0.0000000020,499999999.9999999404,24.3936800000,12.4730215827,1
0.1000000000,0.0000000020,499999999.9999999404,23.8996000000,12.5179856115,1
0.1000000000,0.0000000020,499999999.9999999404,23.9445200000,12.5179856115,1
0.1000000000,0.0000000020,499999999.9999999404,24.2140100000,12.5179856115,1
0.1000000000,0.0000000120,83333333.3333333284,24.2589300000,12.5179856115,1
0.1000000000,0.0000000080,124999999.9999999851,24.3038500000,12.5179856115,1
0.1000000000,0.0000000060,166666666.6666666567,24.3487600000,12.5179856115,1
0.1000000000,0.0000000020,499999999.9999999404,24.3936800000,12.5179856115,1
0.1000000000,0.0000000020,499999999.9999999404,23.8546900000,12.5629496403,1
0.1000000000,0.0000000040,249999999.9999999702,23.8996000000,12.5629496403,1
0.1000000000,0.0000000040,249999999.9999999702,23.9445200000,12.5629496403,1
0.1000000000,0.0000000040,249999999.9999999702,23.9894300000,12.5629496403,1
0.1000000000,0.0000000020,499999999.9999999404,24.0343500000,12.5629496403,1
0.1000000000,0.0000000020,499999999.9999999404,24.1691000000,12.5629496403,1
0.1000000000,0.0000000060,166666666.6666666567,24.2140100000,12.5629496403,1
0.1000000000,0.0000000160,62499999.9999999925,24.2589300000,12.5629496403,1
0.1000000000,0.0000000160,62499999.9999999925,24.3038500000,12.5629496403,1
0.1000000000,0.0000000100,100000000.0000000000,24.3487600000,12.5629496403,1
0.1000000000,0.0000000040,249999999.9999999702,24.3936800000,12.5629496403,1
0.1000000000,0.0000000020,499999999.9999999404,23.8546900000,12.6079136691,1
0.1000000000,0.0000000040,249999999.9999999702,23.8996000000,12.6079136691,1
0.1000000000,0.0000000040,249999999.9999999702,23.9445200000,12.6079136691,1
0.1000000000,0.0000000040,249999999.9999999702,23.9894300000,12.6079136691,1
0.1000000000,0.0000000060,166666666.6666666567,24.0343500000,12.6079136691,1
0.1000000000,0.0000000060,166666666.6666666567,24.0792700000,12.6079136691,1
0.1000000000,0.0000000040,249999999.9999999702,24.1241800000,12.6079136691,1
0.1000000000,0.0000000020,499999999.9999999404,24.1691000000,12.6079136691,1
0.1000000000,0.0000000060,166666666.6666666567,24.2140100000,12.6079136691,1
0.1000000000,0.0000000260,38461538.4615384564,24.2589300000,12.6079136691,1
0.1000000000,0.0000000200,50000000.0000000000,24.3038500000,12.6079136691,1
0.1000000000,0.0000000180,55555555.5555555597,24.3487600000,12.6079136691,1
0.1000000000,0.0000000060,166666666.6666666567,24.3936800000,12.6079136691,1
0.1000000000,0.0000000040,249999999.9999999702,23.8996000000,12.6528776978,1
0.1000000000,0.0000000040,249999999.9999999702,23.9445200000,12.6528776978,1
