threshold,aep,ari,longitude,latitude,hit
0.1000000000,0.0000000279,35789059.2845767066,30.3225600000,0.4676258993,1
0.1000000000,0.0000000279,35789059.2845767066,30.3674700000,0.4676258993,1
0.1000000000,0.0000000559,17894529.6422883533,30.4123900000,0.4676258993,1
0.1000000000,0.0000000279,35789059.2845767066,30.4573000000,0.4676258993,1
0.1000000000,0.0000000279,35789059.2845767066,30.5022200000,0.4676258993,1
0.1000000000,0.0000000279,35789059.2845767066,30.5471400000,0.4676258993,1
0.1000000000,0.0000000279,35789059.2845767066,30.5920500000,0.4676258993,1
0.1000000000,0.0000000559,17894529.6422883533,30.0530600000,0.5125899281,1
0.1000000000,0.0000000279,35789059.2845767066,30.0979800000,0.5125899281,1
0.1000000000,0.0000000559,17894529.6422883533,30.1428900000,0.5125899281,1
0.1000000000,0.0000002515,3976562.1427307450,30.1878100000,0.5125899281,1
0.1000000000,0.0000003353,2982421.6070480589,30.2327300000,0.5125899281,1
0.1000000000,0.0000004191,2385937.2856384469,30.2776400000,0.5125899281,1
0.1000000000,0.0000004750,2105238.7814456886,30.3225600000,0.5125899281,1
0.1000000000,0.0000004471,2236816.2052860442,30.3674700000,0.5125899281,1
0.1000000000,0.0000002794,3578905.9284576704,30.4123900000,0.5125899281,1
0.1000000000,0.0000002235,4473632.4105720883,30.4573000000,0.5125899281,1
0.1000000000,0.0000001397,7157811.8569153408,30.5022200000,0.5125899281,1
0.1000000000,0.0000000838,11929686.4281922355,30.5471400000,0.5125899281,1
0.1000000000,0.0000000838,11929686.4281922355,30.5920500000,0.5125899281,1
0.1000000000,0.0000000838,11929686.4281922355,30.6369700000,0.5125899281,1
0.1000000000,0.0000000279,35789059.2845767066,30.6818800000,0.5125899281,1
0.1000000000,0.0000000559,17894529.6422883533,30.0081500000,0.5575539568,1
0.1000000000,0.0000001118,8947264.8211441766,30.0530600000,0.5575539568,1
0.1000000000,0.0000003074,3253550.8440524279,30.0979800000,0.5575539568,1
0.1000000000,0.0000005588,1789452.9642288352,30.1428900000,0.5575539568,1
0.1000000000,0.0000007544,1325520.7142435818,30.1878100000,0.5575539568,1
0.1000000000,0.0000011177,894726.4821144176,30.2327300000,0.5575539568,1
0.1000000000,0.0000015088,662760.3571217909,30.2776400000,0.5575539568,1
0.1000000000,0.0000016485,606594.2251623170,30.3225600000,0.5575539568,1
0.1000000000,0.0000017883,559204.0513215110,30.3674700000,0.5575539568,1
0.1000000000,0.0000015647,639090.3443674411,30.4123900000,0.5575539568,1
0.1000000000,0.0000011177,894726.4821144176,30.4573000000,0.5575539568,1
0.1000000000,0.0000007544,1325520.7142435818,30.5022200000,0.5575539568,1
0.1000000000,0.0000004191,2385937.2856384469,30.5471400000,0.5575539568,1
0.1000000000,0.0000003353,2982421.6070480589,30.5920500000,0.5575539568,1
0.1000000000,0.0000002515,3976562.1427307450,30.6369700000,0.5575539568,1
0.1000000000,0.0000000838,11929686.4281922355,30.6818800000,0.5575539568,1
0.1000000000,0.0000000838,11929686.4281922355,30.7268000000,0.5575539568,1
0.1000000000,0.0000000279,35789059.2845767066,30.7717200000,0.5575539568,1
0.1000000000,0.0000000279,35789059.2845767066,29.9183200000,0.6025179856,1
0.1000000000,0.0000001118,8947264.8211441766,29.9632300000,0.6025179856,1
0.1000000000,0.0000004191,2385937.2856384469,30.0081500000,0.6025179856,1
0.1000000000,0.0000007824,1278180.6887348823,30.0530600000,0.6025179856,1
0.1000000000,0.0000012294,813387.7110131070,30.0979800000,0.6025179856,1
0.1000000000,0.0000019000,526309.6953614221,30.1428900000,0.6025179856,1
0.1000000000,0.0000030456,328339.9934364835,30.1878100000,0.6025179856,1
0.1000000000,0.0000037162,269090.6713126068,30.2327300000,0.6025179856,1
0.1000000000,0.0000041074,243462.9883304538,30.2776400000,0.6025179856,1
0.1000000000,0.0000041353,241817.9681390318,30.3225600000,0.6025179856,1
0.1000000000,0.0000039677,252035.6287646247,30.3674700000,0.6025179856,1
0.1000000000,0.0000033809,295777.3494593116,30.4123900000,0.6025179856,1
0.1000000000,0.0000024868,402124.2616244573,30.4573000000,0.6025179856,1
0.1000000000,0.0000016765,596484.3214096117,30.5022200000,0.6025179856,1
0.1000000000,0.0000010059,994140.5356826863,30.5471400000,0.6025179856,1
0.1000000000,0.0000007544,1325520.7142435818,30.5920500000,0.6025179856,1
0.1000000000,0.0000004471,2236816.2052860442,30.6369700000,0.6025179856,1
0.1000000000,0.0000001676,5964843.2140961178,30.6818800000,0.6025179856,1
0.1000000000,0.0000001118,8947264.8211441766,30.7268000000,0.6025179856,1
0.1000000000,0.0000000838,11929686.4281922355,30.7717200000,0.6025179856,1
0.1000000000,0.0000000279,35789059.2845767066,30.8166300000,0.6025179856,1
0.1000000000,0.0000000279,35789059.2845767066,29.8734000000,0.6474820144,1
0.1000000000,0.0000001118,8947264.8211441766,29.9183200000,0.6474820144,1
0.1000000000,0.0000003353,2982421.6070480589,29.9632300000,0.6474820144,1
0.1000000000,0.0000007544,1325520.7142435818,30.0081500000,0.6474820144,1
0.1000000000,0.0000018441,542258.4740087379,30.0530600000,0.6474820144,1
0.1000000000,0.0000031015,322423.9575187090,30.0979800000,0.6474820144,1
0.1000000000,0.0000056721,176300.7846530872,30.1428900000,0.6474820144,1
0.1000000000,0.0000075442,132552.0714243582,30.1878100000,0.6474820144,1
0.1000000000,0.0000098633,101385.4370667895,30.2327300000,0.6474820144,1
0.1000000000,0.0000102266,97784.3149851823,30.2776400000,0.6474820144,1
0.1000000000,0.0000092207,108451.6948017476,30.3225600000,0.6474820144,1
0.1000000000,0.0000079354,126017.8143823123,30.3674700000,0.6474820144,1
0.1000000000,0.0000063707,156969.5582656873,30.4123900000,0.6474820144,1
0.1000000000,0.0000043309,230897.1566746884,30.4573000000,0.6474820144,1
0.1000000000,0.0000031294,319545.1721837206,30.5022200000,0.6474820144,1
0.1000000000,0.0000020677,483635.9362780636,30.5471400000,0.6474820144,1
0.1000000000,0.0000014530,688251.1400880136,30.5920500000,0.6474820144,1
0.1000000000,0.0000007824,1278180.6887348823,30.6369700000,0.6474820144,1
0.1000000000,0.0000004471,2236816.2052860442,30.6818800000,0.6474820144,1
0.1000000000,0.0000001676,5964843.2140961178,30.7268000000,0.6474820144,1
0.1000000000,0.0000001397,7157811.8569153408,30.7717200000,0.6474820144,1
0.1000000000,0.0000000559,17894529.6422883533,30.8166300000,0.6474820144,1
0.1000000000,0.0000000279,35789059.2845767066,30.8615500000,0.6474820144,1
0.1000000000,0.0000002235,4473632.4105720883,29.9183200000,0.6924460432,1
0.1000000000,0.0000004750,2105238.7814456886,29.9632300000,0.6924460432,1
0.1000000000,0.0000014809,675265.2695203152,30.0081500000,0.6924460432,1
0.1000000000,0.0000029897,334477.1895754832,30.0530600000,0.6924460432,1
0.1000000000,0.0000057280,174580.7769979351,30.0979800000,0.6924460432,1
0.1000000000,0.0000101428,98592.4498197705,30.1428900000,0.6924460432,1
0.1000000000,0.0000157869,63343.4677603128,30.1878100000,0.6924460432,1
0.1000000000,0.0000230238,43433.3243744863,30.2327300000,0.6924460432,1
0.1000000000,0.0000225488,44348.2766847295,30.2776400000,0.6924460432,1
0.1000000000,0.0000177708,56272.1057933596,30.3225600000,0.6924460432,1
0.1000000000,0.0000132722,75345.3879675299,30.3674700000,0.6924460432,1
0.1000000000,0.0000089972,111146.1468465115,30.4123900000,0.6924460432,1
0.1000000000,0.0000065383,152944.6977973364,30.4573000000,0.6924460432,1
